Name;Description;Unit;Default;Minimum;Maximum
A03_ETC_a_Speed_Set;;rpm;;-2147483648;2147483647
A03_ETC_s_Converter_Temperature;;°C;;-3276.8;3276.7
A03_ETC_s_Error_Code_1;;;;0;4294967295
A03_ETC_s_Error_Code_2;;;;0;4294967295
A03_ETC_s_HV_In_Voltage;;V;;0;6553.5
A03_ETC_s_LV_In_Voltage;;V;;0;655.35
A03_ETC_s_Output_Power;;W;;-32768;32767
A03_ETC_s_PT100_Temperature;;°C;;-3276.8;3276.7
A03_ETC_s_Speed_Actual;;rpm;;-2147483648;2147483647
A03_ETC_s_Warning_Code;;;;0;4294967295
A11_HBV_s_Valve_Act;;%;;0;100
A12_SIV_s_Valve_Act;;%;;0;100
A13_SOV_s_Valve_Act;;%;;0;100
A14_HFM_s_AirMassFlow;;kg/h;;-90;1000
A14_HFM_s_ErrorCode;;;;0;4095
A14_HFM_s_Humidity;;%RH;;0;100
A15_SI_s_Inlet_Pressure;;kPa;;20;215
A16_SI_s_Inlet_Temperature;;°C;;-40;215
A17_SO_s_Outlet_Pressure;;kPa;;20;215
A17_SO_s_Outlet_Temperature;;°C;;-40;215
A22_HSI_s_Humidity;;%RH;;0;100
C01_RF_a_FanSpeed;;%;;0;100
C01_RF_s_Status;;;;0;1
C02_CP_a_RPM;;%;;0;100
C04_DI_s_Temperature;;°C;;-40;215
C07_BAT_s_CECUError_Communicat;;;;0;1
C07_BAT_s_CECUError_Current;;;;0;1
C07_BAT_s_CECUError_Intern;;;;0;1
C07_BAT_s_CECUError_Temperature;;;;0;1
C07_BAT_s_CECUError_Voltage;;;;0;1
C07_BAT_s_External_Chrg_Voltage;;V;;0;1000
C07_BAT_s_External_Load_Voltage;;V;;0;1000
C07_BAT_s_Max_Cell_Temperature;;°C;;-128;127
C07_BAT_s_Max_Cell_Voltage;;V;;0;65.535
C07_BAT_s_Min_Cell_Voltage;;V;;0;65.535
C07_BAT_s_PreWarning_Current_H;;;;0;1
C07_BAT_s_PreWarning_SOC_Low;;;;0;1
C07_BAT_s_PreWarning_Temperature;;;;0;1
C07_BAT_s_PreWarning_Voltage_HL;;;;0;1
C07_BAT_s_State;;;;0;255
C07_BAT_s_System_Current;;A;;-3276.8;3276.7
C08_AMB_s_Temperature;;°C;;-273;1735
C54_SI_s_Temperature;;°C;;-40;215
C_07_BAT_s_SoC;;%;;0;100
C_07_BAT_s_SoH;;%;;0;100
E71_DC4880_a_Current_In_Set;;A;;0;330
E71_DC4880_a_Mode_Control_On;;;;0;1
E71_DC4880_a_Mode_Precharge_On;;;;0;1
E71_DC4880_a_NMT_Function;;;;0;255
E71_DC4880_a_Voltage_In_Set;;V;;0;99
E71_DC4880_s_Current_In_Actual;;A;;0;330
E71_DC4880_s_Current_Out_Actual;;A;;0;198
E71_DC4880_s_NMT_State;;;;0;255
E71_DC4880_s_State_Control_OK;;;;0;1
E71_DC4880_s_State_Control_On;;;;0;1
E71_DC4880_s_State_Precharge_OK;;;;0;1
E71_DC4880_s_State_Precharge_On;;;;0;1
E71_DC4880_s_Temperature_1_Act;;°C;;-3276.8;3276.7
E71_DC4880_s_Temperature_2_Act;;°C;;-3276.8;3276.7
E71_DC4880_s_Voltage_In_Actual;;V;;0;99
E71_DC4880_s_Voltage_Out_Actual;;V;;0;99
E72_DC8024_s_Voltage;;V;;0;25.5
E73_DC8012_s_Voltage;;V;;0;25.5
E74_ISO_s_D_IMC_R_ISO;;kOhm;;0;50000
E74_ISO_s_D_IMC_STATUS;;;;0;65535
E74_ISO_s_D_IMC_STATUS_EXT;;;;0;65535
E74_ISO_s_D_IMD_ERROR_CODE;;;;0;65535
E74_ISO_s_IMC_STATUS_ErrChassis;;;;0;1
E74_ISO_s_IMC_STATUS_Isofehler;;;;0;1
E74_ISO_s_IMC_STATUS_Isowarnung;;;;0;1
H31_OTV_s_Pressure;;kPa;;0;65535
H36_GHU_s_Pressure_1;;kPa;;0;2500
H37_GHU_s_Temperature_1;;°C;;-40;215
H38_HSV_a_Valve_Set;;;;0;1
H40_GHU_s_Pressure_2;;kPa;;0;300
H41_GHU_s_Temperature_2;;°C;;-40;215
H42_HRB_s_ARB_Spd;;rpm;;0;25000
H45_WT_s_WaterLevelStatus;;;;0;1
H51_STK_s_CellVolt_001_2005;;mV;;0;1500
H51_STK_s_CellVolt_002_2005;;mV;;0;1500
H51_STK_s_CellVolt_003_2005;;mV;;0;1500
H51_STK_s_CellVolt_004_2005;;mV;;0;1500
H51_STK_s_CellVolt_005_2005;;mV;;0;1500
H51_STK_s_CellVolt_006_2005;;mV;;0;1500
H51_STK_s_CellVolt_007_2005;;mV;;0;1500
H51_STK_s_CellVolt_008_2005;;mV;;0;1500
H51_STK_s_CellVolt_009_2005;;mV;;0;1500
H51_STK_s_CellVolt_010_2005;;mV;;0;1500
H51_STK_s_CellVolt_011_2005;;mV;;0;1500
H51_STK_s_CellVolt_012_2005;;mV;;0;1500
H51_STK_s_CellVolt_013_2005;;mV;;0;1500
H51_STK_s_CellVolt_014_2005;;mV;;0;1500
H51_STK_s_CellVolt_015_2005;;mV;;0;1500
H51_STK_s_CellVolt_016_2005;;mV;;0;1500
H51_STK_s_CellVolt_017_2005;;mV;;0;1500
H51_STK_s_CellVolt_018_2005;;mV;;0;1500
H51_STK_s_CellVolt_019_2005;;mV;;0;1500
H51_STK_s_CellVolt_020_2005;;mV;;0;1500
H51_STK_s_CellVolt_021_2005;;mV;;0;1500
H51_STK_s_CellVolt_022_2005;;mV;;0;1500
H51_STK_s_CellVolt_023_2005;;mV;;0;1500
H51_STK_s_CellVolt_024_2005;;mV;;0;1500
H51_STK_s_CellVolt_025_2005;;mV;;0;1500
H51_STK_s_CellVolt_026_2005;;mV;;0;1500
H51_STK_s_CellVolt_027_2005;;mV;;0;1500
H51_STK_s_CellVolt_028_2005;;mV;;0;1500
H51_STK_s_CellVolt_029_2005;;mV;;0;1500
H51_STK_s_CellVolt_030_2005;;mV;;0;1500
H51_STK_s_CellVolt_031_2005;;mV;;0;1500
H51_STK_s_CellVolt_032_2005;;mV;;0;1500
H51_STK_s_CellVolt_033_2005;;mV;;0;1500
H51_STK_s_CellVolt_034_2005;;mV;;0;1500
H51_STK_s_CellVolt_035_2005;;mV;;0;1500
H51_STK_s_CellVolt_036_2005;;mV;;0;1500
H51_STK_s_CellVolt_037_2005;;mV;;0;1500
H51_STK_s_CellVolt_038_2005;;mV;;0;1500
H51_STK_s_CellVolt_039_2005;;mV;;0;1500
H51_STK_s_CellVolt_040_2005;;mV;;0;1500
H51_STK_s_CellVolt_041_2005;;mV;;0;1500
H51_STK_s_CellVolt_042_2005;;mV;;0;1500
H51_STK_s_CellVolt_043_2005;;mV;;0;1500
H51_STK_s_CellVolt_044_2005;;mV;;0;1500
H51_STK_s_CellVolt_045_2005;;mV;;0;1500
H51_STK_s_CellVolt_046_2005;;mV;;0;1500
H51_STK_s_CellVolt_047_2005;;mV;;0;1500
H51_STK_s_CellVolt_048_2005;;mV;;0;1500
H51_STK_s_CellVolt_049_2005;;mV;;0;1500
