Name;Description;Unit;Default;Minimum;Maximum
LV_A_03_ETC_a_opCmd1_Error_Ack;;;;0;1
LV_A_03_ETC_a_opCmd1_Start_Stop;;;;0;1
LV_A_03_ETC_a_Speed_Set;;rpm;;-2147483648;2147483647
LV_A_11_HBV_a_Valve_Enable;;;;0;1
LV_A_11_HBV_a_Valve_Set;;%;;0;100
LV_A_12_SIV_a_Valve_Enable;;;;0;1
LV_A_12_SIV_a_Valve_Set;;%;;0;100
LV_A_13_SOV_a_Valve_Enable;;;;0;1
LV_A_13_SOV_a_Valve_Set;;%;;0;100
LV_A_71_Current_In_Set;;%;;0;110
LV_A_71_Current_Out_Set;;%;;0;110
LV_A_71_Mode_Control_On;;;;0;1
LV_A_71_Mode_Precharge_On;;;;0;1
LV_A_71_NMT_Function;;;;0;255
LV_A_71_Voltage_In_Set;;%;;0;110
LV_A_71_Voltage_Out_Set;;%;;0;110
LV_C_01_RF_a_FanSpeed;;%;;0;100
LV_C_02_CP_a_RPM;;%;;0;100
LV_E_74_ISO_a_Rq_D_IMC_STEST_SCR;;;;0;65535
LV_E_75_HVP_a_Relais_Set;;;;0;1
LV_E_76_HVM_a_Relais_Set;;;;0;1
LV_H_31_OTV_a_Valve_Set;;;;0;1
LV_H_38_HSV_a_Valve_Set;;;;0;1
LV_H_42_Cl15_Enable;;;;0;1
LV_H_42_HRB_a_FCCU_Spd_Rq;;rpm;;0;65535
LV_H_43_HDV_a_Dosing_Valve_Set;;%;;0;100
LV_H_46_HRBo_a_Drain_Valve_Set;;;;0;1
LV_H_51_CVM_Monitoring_Enable;;;;0;1
LV_H_51_CVM_Monitoring_Flag;;;;0;7
LV_H_52_DV_a_Drain_Valve_Stack;;;;0;1
LV_H_53_PV_a_Purge_Valve_Stack;;;;0;1
LV_Testmode_Select;;;;0;4
S80_BP_s_Taster_Start_Status;;;;0;1
S80_BP_s_Taster_Stop_Status;;;;0;1
