Name;Description;Unit;Default;Minimum;Maximum;HV & Software;Basis Funktionen;Power Management;Startup;Operation low;Operation high;BZ Shutdown;Alarm
LV_en_p_cldn_amblimit_temp;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cldn_amblimitoff_temp;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cldn_cp_spd;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cldn_rf_spd;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cldn_rf_time;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cldn_soclimit;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cldn_time2off;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cvm_diff_maxmin_lim;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cvm_frequency;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cvm_low_lim2;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cvm_temperature;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cvm_up_lim1;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_cvm_up_lim2;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_dv_incrclstime;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_dv_iniopntime;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_dv_strtclstime;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fca_etc_preset_gradient;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcdu_stk_curr_ramp_time;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsd_etc_initrng_spd;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsd_h2end_press;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsd_hrbstp_spd;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_bpv_opncls_time;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_dcdc_currrampgrad;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_dcdc_maxwrmup_curr;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_dcdc_optime;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_dcdc_preoptime;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_etc_initspd;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_ghu_strtpress1;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_ghu_strtpress2;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_h2_initpress;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_h2_strtpress;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_hrb_strtspd;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_initmincellvolt;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_mincellvolt_time;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_pv_incrclstime;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_pv_opntime;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_pv_strtclstime;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_stk_deltamedlow_v;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_stk_lowcellvolt;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_fcsu_stk_normopset_temp;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_hmi_bat_soc_limit_low;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_hmi_bat_soc_limit_ok;;;;0;1;x;x;x;x;x;x;x;x
